id,name,price,image_url,image_alt,lead,description
21,Insulated Travel Mug,$38.00,travel_mug.png,Stainless travel mug on a desk,Double-wall insulation keeps drinks hot or cold for hours on the go.,Leak-proof lid with a slide-lock opening and a fit that works in most car cup holders.
22,Bluetooth Earbuds,$89.00,earbuds.png,White wireless earbuds in charging case,Compact true wireless earbuds with crisp audio and a pocket-sized charging case.,Touch controls active noise reduction and up to 24 hours of total battery with the case.
23,Canvas Tote Bag,$34.00,tote_bag.png,Natural canvas tote bag with handles,Spacious everyday tote made from heavy-duty cotton canvas.,Reinforced handles interior pocket and machine-washable fabric for errands or the beach.
24,Desk Organizer Set,$46.00,desk_organizer.png,Bamboo desk organizer with compartments,Bamboo desktop organizer with slots for pens notes and small accessories.,Modular trays keep supplies tidy and add a clean natural look to any workspace.
25,Weighted Throw Pillow,$29.00,throw_pillow.png,Decorative pillow on a sofa,Soft square accent pillow with a removable cover and plush fill.,Hidden zipper machine-washable cover and neutral tone that pairs with living room or bedroom decor.
26,Stainless Lunch Box,$42.00,lunch_box.png,Metal lunch container with lid,Three-compartment lunch box with a secure snap lid for meal prep.,BPA-free dishwasher-safe design keeps food separated and fresh until lunchtime.
27,Resistance Band Set,$26.00,resistance_bands.png,Colorful exercise resistance bands,Set of five latex bands with varying resistance levels for home workouts.,Includes door anchor handles and a carry pouch for strength training and mobility exercises.
28,Glass Food Storage Set,$58.00,food_storage.png,Stack of glass containers with lids,Four-piece borosilicate glass container set with airtight lids.,Oven microwave and freezer safe with snap-lock lids that resist leaks and stains.
29,Rechargeable Desk Fan,$52.00,desk_fan.png,Small USB desk fan on a table,Quiet USB-powered desk fan with adjustable tilt and two speed settings.,Compact design ideal for home office or bedside use with low-noise operation.
30,Leather Belt,$55.00,leather_belt.png,Brown leather belt coiled on white background,Full-grain leather belt with a brushed metal buckle and classic stitching.,Available in standard sizes with a durable finish suited for casual or business wear.
